✓ 收到  workloada  [process_num_88] 2025-04-18_23-27-09---workloada  797,218.07 ops/s  AvgPwr: 1006.36 W, StartPwr: 780 W, Δ: 226.36 W
✓ 收到  workloada  [process_num_88] 2025-04-19_05-58-50---workloada  800,244.68 ops/s  AvgPwr: 1023.55 W, StartPwr: 780 W, Δ: 243.55 W
✓ 收到  workloada  [process_num_88] 2025-04-19_09-14-54---workloada  799,864.70 ops/s  AvgPwr: 1018.96 W, StartPwr: 780 W, Δ: 238.96 W
✓ 收到  workloadf  [process_num_88] 2025-04-18_23-31-50---workloadf  781,411.56 ops/s  AvgPwr: 1016.53 W, StartPwr: 780 W, Δ: 236.53 W

🔸 workloada
   [process_num_10] 2025-04-18_19-09-22    107,020.81 ops/sec  AvgPwr: 860.40 W, StartPwr: 792 W, Diff: 68.40 W
   [process_num_10] 2025-04-18_22-25-33    106,339.62 ops/sec  AvgPwr: 856.10 W, StartPwr: 792 W, Diff: 64.10 W
   [process_num_10] 2025-04-19_01-41-17    106,290.42 ops/sec  AvgPwr: 856.20 W, StartPwr: 792 W, Diff: 64.20 W
   [process_num_10] 2025-04-19_04-57-05    107,094.41 ops/sec  AvgPwr: 862.83 W, StartPwr: 792 W, Diff: 70.83 W
   [process_num_10] 2025-04-19_08-13-04    106,516.45 ops/sec  AvgPwr: 855.60 W, StartPwr: 792 W, Diff: 63.60 W
   [process_num_10] 2025-04-19_11-29-11    106,258.84 ops/sec  AvgPwr: 857.85 W, StartPwr: 792 W, Diff: 65.85 W
   [process_num_10] 2025-04-21_16-45-29    107,530.04 ops/sec  AvgPwr: 875.10 W, StartPwr: 804 W, Diff: 71.10 W
   ---------------------------------------------------------------------------
   [process_num_20] 2025-04-18_19-16-13    212,032.00 ops/sec  AvgPwr: 909.90 W, StartPwr: 792 W, Diff: 117.90 W
   [process_num_20] 2025-04-18_22-32-27    211,641.53 ops/sec  AvgPwr: 915.90 W, StartPwr: 792 W, Diff: 123.90 W
   [process_num_20] 2025-04-19_01-48-08    213,402.66 ops/sec  AvgPwr: 911.69 W, StartPwr: 792 W, Diff: 119.69 W
   [process_num_20] 2025-04-19_05-03-59    211,451.22 ops/sec  AvgPwr: 911.70 W, StartPwr: 792 W, Diff: 119.70 W
   [process_num_20] 2025-04-19_08-19-59    210,365.07 ops/sec  AvgPwr: 908.49 W, StartPwr: 792 W, Diff: 116.49 W
   [process_num_20] 2025-04-19_11-36-07    212,651.82 ops/sec  AvgPwr: 919.20 W, StartPwr: 792 W, Diff: 127.20 W
   ---------------------------------------------------------------------------
   [process_num_30] 2025-04-18_19-23-11    314,197.62 ops/sec  AvgPwr: 948.59 W, StartPwr: 792 W, Diff: 156.59 W
   [process_num_30] 2025-04-18_22-39-26    312,477.16 ops/sec  AvgPwr: 956.20 W, StartPwr: 792 W, Diff: 164.20 W
   [process_num_30] 2025-04-19_01-55-04    313,353.55 ops/sec  AvgPwr: 955.90 W, StartPwr: 792 W, Diff: 163.90 W
   [process_num_30] 2025-04-19_05-10-59    313,538.58 ops/sec  AvgPwr: 955.08 W, StartPwr: 792 W, Diff: 163.08 W
   [process_num_30] 2025-04-19_08-27-00    310,423.68 ops/sec  AvgPwr: 961.71 W, StartPwr: 792 W, Diff: 169.71 W
   [process_num_30] 2025-04-19_11-43-05    313,459.32 ops/sec  AvgPwr: 954.73 W, StartPwr: 792 W, Diff: 162.73 W
   ---------------------------------------------------------------------------
   [process_num_40] 2025-04-18_19-30-23    410,616.56 ops/sec  AvgPwr: 971.41 W, StartPwr: 792 W, Diff: 179.41 W
   [process_num_40] 2025-04-18_22-46-39    415,140.52 ops/sec  AvgPwr: 987.30 W, StartPwr: 792 W, Diff: 195.30 W
   [process_num_40] 2025-04-19_02-02-15    410,812.00 ops/sec  AvgPwr: 982.54 W, StartPwr: 780 W, Diff: 202.54 W
   [process_num_40] 2025-04-19_05-18-10    410,548.67 ops/sec  AvgPwr: 978.44 W, StartPwr: 780 W, Diff: 198.44 W
   [process_num_40] 2025-04-19_08-34-13    412,541.16 ops/sec  AvgPwr: 976.57 W, StartPwr: 780 W, Diff: 196.57 W
   [process_num_40] 2025-04-19_11-50-15    411,071.49 ops/sec  AvgPwr: 974.34 W, StartPwr: 780 W, Diff: 194.34 W
   ---------------------------------------------------------------------------
   [process_num_50] 2025-04-18_19-37-49    503,639.88 ops/sec  AvgPwr: 1,012.47 W, StartPwr: 780 W, Diff: 232.47 W
   [process_num_50] 2025-04-18_22-54-08    513,992.21 ops/sec  AvgPwr: 1,003.14 W, StartPwr: 792 W, Diff: 211.14 W
   [process_num_50] 2025-04-19_02-09-42    524,602.74 ops/sec  AvgPwr: 1,011.63 W, StartPwr: 792 W, Diff: 219.63 W
